ObjectsMade,MemoryLeft,TimeToAdd
817,9159288,648
818,9159288,649
819,9159288,650
820,9159288,651
821,9159288,652
822,9159288,652
823,9159288,653
824,9159288,655
825,9159288,655
826,9159288,656
827,9159288,656
828,9159288,657
829,9159288,658
830,9159288,659
831,9159288,660
832,9159288,660
833,9159288,661
834,9159288,662
835,9159288,662
836,9159288,663
837,9159288,664
838,9159288,665
839,9159288,666
840,9159288,666
841,9159288,667
842,9159288,668
843,9159288,669
844,9159288,670
845,9159288,670
846,9159288,671
847,9159288,672
848,9159288,673
849,9159288,674
850,9159288,677
851,9159288,679
852,9159288,679
853,9159288,680
854,9159288,680
855,9159288,682
856,9159288,682
857,9159288,683
858,9159288,683
859,9159288,684
860,9159288,684
861,9159288,685
862,9159288,686
863,9159288,686
864,9159288,687
865,9159288,688
866,9159288,688
867,9159288,689
868,9159288,689
869,9159288,692
870,9159288,693
871,9159288,693
872,9159288,693
873,9159288,694
874,9159288,694
875,9159288,695
876,9159288,695
877,9159288,696
878,9159288,696
879,9159288,697
880,9159288,698
881,9159288,698
882,9159288,699
883,9159288,699
884,9159288,700
885,9159288,701
886,9159288,701
887,9159288,702
888,9159288,703
889,9159288,703
890,9159288,704
891,9159288,704
892,9159288,705
893,9159288,706
894,9159288,708
895,9159288,709
896,9159288,712
897,9159288,712
898,9159288,713
899,9159288,713
900,9159288,715
901,9159288,715
902,9159288,716
903,9159288,717
904,9159288,718
905,9159288,718
906,9159288,719
907,9159288,719
908,9159288,720
909,9159288,720
910,9159288,721
911,9159288,721
912,9159288,722
913,9159288,722
914,9159288,724
915,9159288,724
916,9159288,727
917,9159288,728
918,9159288,728
919,9159288,730
920,9159288,730
921,9159288,730
922,9159288,731
923,9159288,731
924,9159288,732
925,9159288,732
926,9159288,733
927,9159288,733
928,9159288,734
929,9159288,734
930,9159288,735
931,9159288,735
932,9159288,736
933,9159288,737
934,9159288,737
935,9159288,737
936,9159288,738
937,9159288,739
938,9159288,739
939,9159288,744
940,9159288,745
941,9159288,745
942,9159288,745
943,9159288,746
944,9159288,748
945,9159288,748
946,9159288,749
947,9159288,749
948,9159288,751
949,9159288,752
950,9159288,752
951,9159288,754
952,9159288,754
953,9159288,755
954,9159288,755
955,9159288,757
956,9159288,758
957,9159288,759
958,9159288,759
959,9159288,761
960,9159288,761
961,9159288,762
962,9159288,762
963,9159288,763
964,9159288,764
965,9159288,764
966,9159288,765
967,9159288,765
968,9159288,766
969,9159288,766
970,9159288,766
971,9159288,767
972,9159288,768
973,9159288,768
974,9159288,769
975,9159288,769
976,9159288,771
977,9159288,771
978,9159288,772
979,9159288,772
980,9159288,773
981,9159288,774
982,9159288,776
983,9159288,776
984,9159288,777
985,9159288,778
986,9159288,779
987,9159288,779
988,9159288,780
989,9159288,780
990,9159288,781
991,9159288,782
992,9159288,782
993,9159288,783
994,9159288,783
995,9159288,784
996,9159288,785
997,9159288,786
998,9159288,786
999,9159288,787
1000,9159288,789
1001,9159288,789
1002,9159288,791
1003,9159288,792
1004,9159288,793
1005,9159288,793
1006,9159288,794
1007,9159288,794
1008,9159288,795
1009,9159288,796
1010,9159288,796
1011,9159288,796
1012,9159288,797
1013,9159288,798
1014,9159288,799
1015,9159288,799
1016,9159288,801
1017,9159288,801
1018,9159288,801
1019,9159288,802
1020,9159288,803
1021,9159288,803
1022,9159288,804
1023,7025552,811
